comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
first_use_aa,first_use,4,ABBA,2,B,lazy_b,0,889760,8419328,ok,
first_use_aa,first_use,4,ABBA,3,A,lazy,0,899220,8419328,ok,
first_use_aa,first_use,5,BAAB,0,B,lazy_b,0,891870,8419328,ok,
first_use_aa,first_use,5,BAAB,1,A,lazy,0,898370,8419328,ok,
first_use_aa,first_use,5,BAAB,2,A,lazy,0,890620,8419328,ok,
first_use_aa,first_use,5,BAAB,3,B,lazy_b,0,901570,8419328,ok,
first_use_aa,first_use,6,ABBA,0,A,lazy,0,917900,8419328,ok,
first_use_aa,first_use,6,ABBA,1,B,lazy_b,0,891220,8419328,ok,
first_use_aa,first_use,6,ABBA,2,B,lazy_b,0,930210,8419328,ok,
first_use_aa,first_use,6,ABBA,3,A,lazy,0,897540,8419328,ok,
first_use_aa,first_use,7,BAAB,0,B,lazy_b,0,881240,8419328,ok,
first_use_aa,first_use,7,BAAB,1,A,lazy,0,892290,8419328,ok,
first_use_aa,first_use,7,BAAB,2,A,lazy,0,894900,8419328,ok,
first_use_aa,first_use,7,BAAB,3,B,lazy_b,0,904800,8419328,ok,
first_use_aa,first_use,8,ABBA,0,A,lazy,0,888490,8419328,ok,
first_use_aa,first_use,8,ABBA,1,B,lazy_b,0,881380,8419328,ok,
first_use_aa,first_use,8,ABBA,2,B,lazy_b,0,925360,8419328,ok,
first_use_aa,first_use,8,ABBA,3,A,lazy,0,896850,8419328,ok,
first_use_aa,first_use,9,BAAB,0,B,lazy_b,0,882430,8419328,ok,
first_use_aa,first_use,9,BAAB,1,A,lazy,0,891580,8419328,ok,
first_use_aa,first_use,9,BAAB,2,A,lazy,0,899630,8419328,ok,
first_use_aa,first_use,9,BAAB,3,B,lazy_b,0,887100,8419328,ok,
first_use_aa,first_use,10,ABBA,0,A,lazy,0,893340,8419328,ok,
first_use_aa,first_use,10,ABBA,1,B,lazy_b,0,903440,8419328,ok,
